,Name,Sex,Age,Year,Country,Event,Medal,Event_Type,Season
40785,Choi Hyeon-Ju,F,27,2012,KOR,Archery Women's Team,Gold,Team,Summer
40836,Choi Mi-Sun,F,20,2016,KOR,Archery Women's Team,Gold,Team,Summer
42339,William A. Clark,M,33,1904,USA,Archery Men's Team Round,Silver,Team,Summer
42771,Edmond Cloetens,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Individual",Gold,Individual,Summer
42772,Edmond Cloetens,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Team",Gold,Team,Summer
42773,Edmond Cloetens,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Team",Gold,Team,Summer
44365,Emma C. Cooke,F,55,1904,USA,Archery Women's Double Columbia Round,Silver,Team,Summer
44366,Emma C. Cooke,F,55,1904,USA,Archery Women's Double National Round,Silver,Team,Summer
46941,"Timothy John ""Tim"" Cuddihy",M,17,2004,AUS,Archery Men's Individual,Bronze,Individual,Summer
48317,Dai Xiaoxiang,M,21,2012,CHN,Archery Men's Individual,Bronze,Individual,Summer
48522,Cyrus Edwin Dallin,M,42,1904,USA,Archery Men's Team Round,Bronze,Team,Summer
49415,Tuyana Norpolovna Dashidorzhiyeva,F,20,2016,RUS,Archery Women's Team,Silver,Team,Summer
50487,"Petrus Godefridus ""Piet"" de Brouwer",M,39,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
51034,Edmond De Knibber,M,33,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
51035,Edmond De Knibber,M,33,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
51036,Edmond De Knibber,M,33,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
51412,Jrme De Mayer,M,44,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
51413,Jrme De Mayer,M,44,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
51414,Jrme De Mayer,M,44,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
53032,Louis Delcon,M,33,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
53033,Louis Delcon,M,33,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
53034,Louis Delcon,M,33,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
54716,Ilario Di Bu,M,34,2000,ITA,Archery Men's Team,Silver,Team,Summer
54720,Ilario Di Bu,M,42,2008,ITA,Archery Men's Team,Silver,Team,Summer
56686,"Charlotte ""Lottie"" Dod",F,36,1908,GBR,Archery Women's Double National Round,Silver,Team,Summer
56687,William Dod,M,40,1908,GBR,Archery Men's Double York Round,Gold,Team,Summer
56712,Sophie Dodmont,F,34,2008,FRA,Archery Women's Team,Bronze,Team,Summer
58844,"Druart, Jr.",M,33,1900,BEL,Archery Men's Sur La Perche a La Herse,Silver,Individual,Summer
60403,Samuel Harding Duvall,M,68,1904,USA,Archery Men's Team Round,Silver,Team,Summer
60786,Iwona Dzicio-Marcinkiewicz,F,21,1996,POL,Archery Women's Team,Bronze,Team,Summer
63165,Brady Lee Ellison,M,23,2012,USA,Archery Men's Team,Silver,Team,Summer
63166,Brady Lee Ellison,M,27,2016,USA,Archery Men's Individual,Bronze,Individual,Summer
63167,Brady Lee Ellison,M,27,2016,USA,Archery Men's Team,Silver,Team,Summer
63938,Thodore Lon Epin,M,61,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
63939,Thodore Lon Epin,M,61,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
63940,Thodore Lon Epin,M,61,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
66067,Simon John Fairweather,M,30,2000,AUS,Archery Men's Individual,Gold,Individual,Summer
66189,Ismo Kalevi Falck,M,25,1992,FIN,Archery Men's Team,Silver,Team,Summer
66423,Fang Yuting,F,22,2012,CHN,Archery Women's Team,Silver,Team,Summer
67085,Albert Pascal Fauvel,M,38,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
67086,Albert Pascal Fauvel,M,38,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
67087,Albert Pascal Fauvel,M,38,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
68437,Giancarlo Ferrari,M,33,1976,ITA,Archery Men's Individual,Bronze,Individual,Summer
68438,Giancarlo Ferrari,M,37,1980,ITA,Archery Men's Individual,Bronze,Individual,Summer
69034,Victor Louis Fierens,M,44,1920,BEL,"Archery Men's Target Archery, 28 metres, Team",Silver,Team,Summer
69035,Victor Louis Fierens,M,44,1920,BEL,"Archery Men's Target Archery, 33 metres, Team",Gold,Team,Summer
69036,Victor Louis Fierens,M,44,1920,BEL,"Archery Men's Target Archery, 50 metres, Team",Gold,Team,Summer
69887,mile Lon Fisseux,M,32,1900,FRA,"Archery Men's Au Cordon Dore, 50 metres",Bronze,Individual,Summer
70111,Firmin Flamand,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Individual",Bronze,Individual,Summer
70112,Firmin Flamand,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Team",Gold,Team,Summer
70113,Firmin Flamand,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Team",Gold,Team,Summer
70637,Sbastien Flte,M,20,1992,FRA,Archery Men's Individual,Gold,Individual,Summer
71713,Emmanuel Foulon,M,28,1900,BEL,Archery Men's Sur La Perche a La Herse,Gold,Individual,Summer
72201,Michele Frangilli,M,20,1996,ITA,Archery Men's Team,Bronze,Team,Summer
72203,Michele Frangilli,M,24,2000,ITA,Archery Men's Team,Silver,Team,Summer
72207,Michele Frangilli,M,36,2012,ITA,Archery Men's Team,Gold,Team,Summer
74241,Takaharu Furukawa,M,27,2012,JPN,Archery Men's Individual,Silver,Individual,Summer
74961,Marco Galiazzo,M,21,2004,ITA,Archery Men's Individual,Gold,Individual,Summer
74964,Marco Galiazzo,M,25,2008,ITA,Archery Men's Team,Silver,Team,Summer
74966,Marco Galiazzo,M,29,2012,ITA,Archery Men's Team,Gold,Team,Summer
75705,Emma Vasilyevna Gapchenko,F,34,1972,URS,Archery Women's Individual,Bronze,Individual,Summer
76575,Zach Garrett,M,21,2016,USA,Archery Men's Team,Silver,Team,Summer
80346,Louis Edouard Albert Glineur,M,50,1900,BEL,Archery Men's Sur La Perche a La Pyramide,Bronze,Individual,Summer
84814,Eugne Franois Grisot,M,41,1908,FRA,Archery Men's Continental Style,Gold,Individual,Summer
84815,Eugne Franois Grisot,M,53,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
84816,Eugne Franois Grisot,M,53,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
84817,Eugne Franois Grisot,M,53,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
85434,mile Grumiaux,M,38,1900,FRA,Archery Men's Sur La Perche a La Pyramide,Gold,Individual,Summer
86669,Guo Dan,F,22,2008,CHN,Archery Women's Team,Silver,Team,Summer
88846,Steven Leslie Hallard,M,23,1988,GBR,Archery Men's Team,Bronze,Team,Summer
88848,Steven Leslie Hallard,M,27,1992,GBR,Archery Men's Team,Bronze,Team,Summer
89853,Lilies Handayani,F,23,1988,INA,Archery Women's Team,Silver,Team,Summer
92403,Ren Hayakawa,F,24,2012,JPN,Archery Women's Team,Bronze,Team,Summer
92648,He Ying,F,19,1996,CHN,Archery Women's Individual,Silver,Individual,Summer
92653,He Ying,F,27,2004,CHN,Archery Women's Team,Silver,Team,Summer
93675,Henri Hyacinthe Helle,M,26,1900,FRA,"Archery Men's Au Chapelet, 50 metres",Silver,Individual,Summer
94742,Joseph Hermans,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Individual",Bronze,Individual,Summer
94744,Joseph Hermans,M,33,1920,BEL,"Archery Men's Pole Archery, Small Birds, Team",Gold,Team,Summer
94745,Joseph Hermans,M,33,1920,BEL,"Archery Men's Pole Archery, Large Birds, Team",Gold,Team,Summer
95035,"Henri Louis Hrouin, Sr.",M,24,1900,FRA,"Archery Men's Au Cordon Dore, 50 metres",Gold,Individual,Summer
95036,"Henri Louis Hrouin, Sr.",M,24,1900,FRA,Archery Men's Championnat Du Monde,Gold,Individual,Summer
96010,"Beatrice Geraldine Hill-Lowe (Ruxton-, -Thompson)",F,40,1908,GBR,Archery Women's Double National Round,Bronze,Team,Summer
97484,Juan Carlos Holgado Romero,M,24,1992,ESP,Archery Men's Team,Gold,Team,Summer
99506,"Matilda ""Lida"" Howell (Scott-)",F,44,1904,USA,Archery Women's Double Columbia Round,Gold,Team,Summer
99507,"Matilda ""Lida"" Howell (Scott-)",F,44,1904,USA,Archery Women's Double National Round,Gold,Team,Summer
99508,"Matilda ""Lida"" Howell (Scott-)",F,44,1904,USA,Archery Women's Team Round,Gold,Team,Summer
99676,Dmytro Olehovych Hrachov,M,20,2004,UKR,Archery Men's Team,Bronze,Team,Summer
100177,Charles Randolph Hubbard,M,54,1904,USA,Archery Men's Team Round,Silver,Team,Summer
100721,Justin Grant Huish,M,21,1996,USA,Archery Men's Individual,Gold,Individual,Summer
100722,Justin Grant Huish,M,21,1996,USA,Archery Men's Team,Gold,Team,Summer
102670,Im Dong-Hyeon,M,19,2004,KOR,Archery Men's Team,Gold,Team,Summer
102672,Im Dong-Hyeon,M,23,2008,KOR,Archery Men's Team,Gold,Team,Summer
102674,Im Dong-Hyeon,M,27,2012,KOR,Archery Men's Team,Bronze,Team,Summer
103582,Boris Valentinovich Isachenko,M,21,1980,URS,Archery Men's Individual,Silver,Individual,Summer
106072,Jang Yong-Ho,M,20,1996,KOR,Archery Men's Team,Silver,Team,Summer
106074,Jang Yong-Ho,M,24,2000,KOR,Archery Men's Team,Gold,Team,Summer
106076,Jang Yong-Ho,M,28,2004,KOR,Archery Men's Team,Gold,Team,Summer
107788,Jeon In-Su,M,23,1988,KOR,Archery Men's Team,Gold,Team,Summer
107883,Jeong Jae-Heon,M,18,1992,KOR,Archery Men's Individual,Silver,Individual,Summer
108135,Gunnar Jervill,M,26,1972,SWE,Archery Men's Individual,Silver,Individual,Summer
108379,Jiang Lin,M,26,2008,CHN,Archery Men's Team,Bronze,Team,Summer
109461,"Richard Andrew ""Butch"" Johnson",M,40,1996,USA,Archery Men's Team,Gold,Team,Summer
109463,"Richard Andrew ""Butch"" Johnson",M,45,2000,USA,Archery Men's Team,Bronze,Team,Summer
110473,Joo Hyun-Jung,F,26,2008,KOR,Archery Women's Team,Gold,Team,Summer
112680,"Jacob Robert ""Jake"" Linde-Kaminski ",M,23,2012,USA,Archery Men's Team,Silver,Team,Summer
112682,"Jacob Robert ""Jake"" Linde-Kaminski ",M,27,2016,USA,Archery Men's Team,Silver,Team,Summer
112984,Miki Kanie,F,23,2012,JPN,Archery Women's Team,Bronze,Team,Summer
114877,Kaori Kawanaka,F,20,2012,JPN,Archery Women's Team,Bronze,Team,Summer
117601,Ki Bo-Bae,F,24,2012,KOR,Archery Women's Individual,Gold,Individual,Summer
117602,Ki Bo-Bae,F,24,2012,KOR,Archery Women's Team,Gold,Team,Summer
117603,Ki Bo-Bae,F,28,2016,KOR,Archery Women's Individual,Bronze,Individual,Summer
117604,Ki Bo-Bae,F,28,2016,KOR,Archery Women's Team,Gold,Team,Summer
118120,Kim Bo-Ram,M,23,1996,KOR,Archery Men's Team,Silver,Team,Summer
118148,Kim Bub-Min,M,21,2012,KOR,Archery Men's Team,Bronze,Team,Summer
118188,Kim Cheong-Tae,M,20,2000,KOR,Archery Men's Team,Gold,Team,Summer
118451,Kim Gyeong-Uk,F,26,1996,KOR,Archery Women's Individual,Gold,Individual,Summer
118452,Kim Gyeong-Uk,F,26,1996,KOR,Archery Women's Team,Gold,Team,Summer
118695,Kim Jin-Ho,F,22,1984,KOR,Archery Women's Individual,Bronze,Individual,Summer
118717,Kim Jo-Sun,F,21,1996,KOR,Archery Women's Team,Gold,Team,Summer
118886,Kim Nam-Sun,F,20,2000,KOR,Archery Women's Individual,Silver,Individual,Summer
118887,Kim Nam-Sun,F,20,2000,KOR,Archery Women's Team,Gold,Team,Summer
119089,Kim Su-Nyeong,F,17,1988,KOR,Archery Women's Individual,Gold,Individual,Summer
119090,Kim Su-Nyeong,F,17,1988,KOR,Archery Women's Team,Gold,Team,Summer
119091,Kim Su-Nyeong,F,21,1992,KOR,Archery Women's Individual,Silver,Individual,Summer
119092,Kim Su-Nyeong,F,21,1992,KOR,Archery Women's Team,Gold,Team,Summer
119093,Kim Su-Nyeong,F,29,2000,KOR,Archery Women's Individual,Bronze,Individual,Summer
119094,Kim Su-Nyeong,F,29,2000,KOR,Archery Women's Team,Gold,Team,Summer
119162,Kim Woo-Jin,M,24,2016,KOR,Archery Men's Team,Gold,Team,Summer
120676,Katarzyna Klata (-Kowalska),F,23,1996,POL,Archery Women's Team,Bronze,Team,Summer
125851,Valentyna Ivanivna Kovpan,F,26,1976,URS,Archery Women's Individual,Silver,Individual,Summer
127976,Ku Bon-Chan,M,23,2016,KOR,Archery Men's Individual,Gold,Individual,Summer
127977,Ku Bon-Chan,M,23,2016,KOR,Archery Men's Team,Gold,Team,Summer
130058,Khatuna Kvrivishvili-Lorig,F,18,1992,EUN,Archery Women's Team,Bronze,Team,Summer
130372,Kysti Kalevi Laasonen,M,26,1972,FIN,Archery Men's Individual,Bronze,Individual,Summer
134003,Le Chien-Ying,F,26,2016,TPE,Archery Women's Team,Bronze,Team,Summer
134766,Lee Chang-Hwan,M,26,2008,KOR,Archery Men's Team,Gold,Team,Summer
134862,Lee Eun-Gyeong,F,20,1992,KOR,Archery Women's Team,Gold,Team,Summer
134980,Lee Han-Seop,M,22,1988,KOR,Archery Men's Team,Gold,Team,Summer
135407,Lee Seong-Jin,F,19,2004,KOR,Archery Women's Individual,Silver,Individual,Summer
135408,Lee Seong-Jin,F,19,2004,KOR,Archery Women's Team,Gold,Team,Summer
135410,Lee Seong-Jin,F,27,2012,KOR,Archery Women's Team,Gold,Team,Summer
135437,Lee Seung-Yun,M,21,2016,KOR,Archery Men's Team,Gold,Team,Summer
137101,Paul Louis Eugne Dsir Leroy,M,36,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
137102,Paul Louis Eugne Dsir Leroy,M,36,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
137103,Paul Louis Eugne Dsir Leroy,M,36,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
138207,Li Lingjuan,F,18,1984,CHN,Archery Women's Individual,Silver,Individual,Summer
138370,Li Wenquan,M,22,2008,CHN,Archery Men's Team,Bronze,Team,Summer
139372,Lin Sang,F,26,2004,CHN,Archery Women's Team,Silver,Team,Summer
139375,Lin Shih-Chia,F,23,2016,TPE,Archery Women's Team,Bronze,Team,Summer
140266,Jari Matti Lipponen,M,19,1992,FIN,Archery Men's Team,Silver,Team,Summer
140652,Liu Ming-Huang,M,19,2004,TPE,Archery Men's Team,Silver,Team,Summer
142663,Ketevan Losaberidze,F,30,1980,URS,Archery Women's Individual,Gold,Individual,Summer
144950,Ma Xiangjun,F,27,1992,CHN,Archery Women's Team,Silver,Team,Summer
145079,Franois Arthur Mabillon,M,31,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
145080,Franois Arthur Mabillon,M,31,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
145081,Franois Arthur Mabillon,M,31,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
153244,Louis William Maxson,M,48,1904,USA,Archery Men's Team Round,Gold,Team,Summer
154920,"Richard Lee ""Rick"" McKinney",M,30,1984,USA,Archery Men's Individual,Silver,Individual,Summer
154922,"Richard Lee ""Rick"" McKinney",M,34,1988,USA,Archery Men's Team,Silver,Team,Summer
156636,Alfonso Menndez Valln,M,26,1992,ESP,Archery Men's Team,Gold,Team,Summer
156824,Barbara Mensing,F,35,1996,GER,Archery Women's Team,Silver,Team,Summer
156826,Barbara Mensing,F,39,2000,GER,Archery Women's Team,Bronze,Team,Summer
156972,mile Mercier,M,33,1900,FRA,"Archery Men's Au Chapelet, 50 metres",Bronze,Individual,Summer
157067,Pivi Aulikki Meriluoto-Aaltonen,F,27,1980,FIN,Archery Women's Individual,Bronze,Individual,Summer
158215,Hiroshi Michinaga,M,19,1976,JPN,Archery Men's Individual,Silver,Individual,Summer
164459,Eugne Mougin,M,47,1900,FRA,"Archery Men's Au Chapelet, 50 metres",Gold,Individual,Summer
169821,Mauro Nespoli,M,20,2008,ITA,Archery Men's Team,Silver,Team,Summer
169823,Mauro Nespoli,M,24,2012,ITA,Archery Men's Team,Gold,Team,Summer
170250,Sybil Fenton Newall,F,53,1908,GBR,Archery Women's Double National Round,Gold,Team,Summer
173634,Joanna Nowicka-Kwana,F,29,1996,POL,Archery Women's Team,Bronze,Team,Summer
174411,O Gyo-Mun,M,24,1996,KOR,Archery Men's Individual,Bronze,Individual,Summer
174412,O Gyo-Mun,M,24,1996,KOR,Archery Men's Team,Silver,Team,Summer
174414,O Gyo-Mun,M,28,2000,KOR,Archery Men's Team,Gold,Team,Summer
175019,"Deborah Lynn ""Debra"" Ochs (-Asay)",F,22,1988,USA,Archery Women's Team,Bronze,Team,Summer
175545,Oh Jin-Hyek,M,30,2012,KOR,Archery Men's Individual,Gold,Individual,Summer
175546,Oh Jin-Hyek,M,30,2012,KOR,Archery Men's Team,Bronze,Team,Summer
179842,Darrell Owen Pace,M,19,1976,USA,Archery Men's Individual,Gold,Individual,Summer
179843,Darrell Owen Pace,M,27,1984,USA,Archery Men's Individual,Gold,Individual,Summer
179845,Darrell Owen Pace,M,31,1988,USA,Archery Men's Team,Silver,Team,Summer
179952,"Jan Joseph ""Joep"" Packbiers",M,45,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
181816,Andrea Parenti,M,31,1996,ITA,Archery Men's Team,Bronze,Team,Summer
182057,Park Gyeong-Mo,M,28,2004,KOR,Archery Men's Team,Gold,Team,Summer
182058,Park Gyeong-Mo,M,32,2008,KOR,Archery Men's Individual,Silver,Individual,Summer
182059,Park Gyeong-Mo,M,32,2008,KOR,Archery Men's Team,Gold,Team,Summer
182228,Park Seong-Hyeon,F,21,2004,KOR,Archery Women's Individual,Gold,Individual,Summer
182229,Park Seong-Hyeon,F,21,2004,KOR,Archery Women's Team,Gold,Team,Summer
182230,Park Seong-Hyeon,F,25,2008,KOR,Archery Women's Individual,Silver,Individual,Summer
182231,Park Seong-Hyeon,F,25,2008,KOR,Archery Women's Team,Gold,Team,Summer
182235,Park Seong-Su,M,18,1988,KOR,Archery Men's Individual,Silver,Individual,Summer
182236,Park Seong-Su,M,18,1988,KOR,Archery Men's Team,Gold,Team,Summer
182327,"Denise Parker (Knudson-, -Smith)",F,14,1988,USA,Archery Women's Team,Bronze,Team,Summer
186001,Kseniya Vitalyevna Perova,F,27,2016,RUS,Archery Women's Team,Silver,Team,Summer
186878,Stig Magnus Petersson,M,21,1996,SWE,Archery Men's Individual,Silver,Individual,Summer
186911,Frdric Adolphe Petit,M,43,1900,FRA,"Archery Men's Au Chapelet, 33 metres",Bronze,Individual,Summer
186912,Frdric Adolphe Petit,M,43,1900,FRA,"Archery Men's Au Cordon Dore, 33 metres",Bronze,Individual,Summer
187828,Cornelia Pfohl (-Griem),F,25,1996,GER,Archery Women's Team,Silver,Team,Summer
187830,Cornelia Pfohl (-Griem),F,29,2000,GER,Archery Women's Team,Bronze,Team,Summer
190572,Tomi Jaakko Poikolainen,M,18,1980,FIN,Archery Men's Individual,Gold,Individual,Summer
190577,Tomi Jaakko Poikolainen,M,30,1992,FIN,Archery Men's Team,Silver,Team,Summer
190950,"Lida Peyton ""Eliza"" Pollock (McMillen-)",F,63,1904,USA,Archery Women's Double Columbia Round,Bronze,Team,Summer
190951,"Lida Peyton ""Eliza"" Pollock (McMillen-)",F,63,1904,USA,Archery Women's Double National Round,Bronze,Team,Summer
190952,"Lida Peyton ""Eliza"" Pollock (McMillen-)",F,63,1904,USA,Archery Women's Team Round,Gold,Team,Summer
192202,Alec Potts,M,20,2016,AUS,Archery Men's Team,Bronze,Team,Summer
193148,Richard John Priestman,M,33,1988,GBR,Archery Men's Team,Bronze,Team,Summer
193150,Richard John Priestman,M,37,1992,GBR,Archery Men's Team,Bronze,Team,Summer
194996,Lonce Gaston Quentin,M,40,1920,FRA,"Archery Men's Target Archery, 28 metres, Individual",Silver,Individual,Summer
194997,Lonce Gaston Quentin,M,40,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
194998,Lonce Gaston Quentin,M,40,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
194999,Lonce Gaston Quentin,M,40,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
200168,Henry Barber Richardson,M,15,1904,USA,Archery Men's Team Round,Bronze,Team,Summer
200169,Henry Barber Richardson,M,18,1908,USA,Archery Men's Double York Round,Bronze,Team,Summer
200285,Louis Eugne Richez,M,55,1920,FRA,"Archery Men's Target Archery, 28 metres, Team",Bronze,Team,Summer
200286,Louis Eugne Richez,M,55,1920,FRA,"Archery Men's Target Archery, 33 metres, Team",Silver,Team,Summer
200287,Louis Eugne Richez,M,55,1920,FRA,"Archery Men's Target Archery, 50 metres, Team",Silver,Team,Summer
203567,Ada Nabila Romn Arroyo,F,24,2012,MEX,Archery Women's Individual,Silver,Individual,Summer
205488,Viktor Hennadiyovych Ruban,M,23,2004,UKR,Archery Men's Team,Bronze,Team,Summer
205489,Viktor Hennadiyovych Ruban,M,27,2008,UKR,Archery Men's Individual,Gold,Individual,Summer
206483,Zebinisso Sanginovna Rustamova,F,21,1976,URS,Archery Women's Individual,Bronze,Individual,Summer
206995,Luann Marie Ryon,F,23,1976,USA,Archery Women's Individual,Gold,Individual,Summer
207574,Olena Anatolivna Sadovnycha,F,28,1996,UKR,Archery Women's Individual,Bronze,Individual,Summer
207577,Olena Anatolivna Sadovnycha,F,32,2000,UKR,Archery Women's Team,Silver,Team,Summer
207944,Nurfitriyana Saiman-Lantang,F,26,1988,INA,Archery Women's Team,Silver,Team,Summer
214337,Brengre Simone Rolande Schuh,F,24,2008,FRA,Archery Women's Team,Bronze,Team,Summer
216482,Seo Hyang-Sun,F,17,1984,KOR,Archery Women's Individual,Gold,Individual,Summer
216661,Kateryna Valerivna Serdiuk (-Sumko),F,17,2000,UKR,Archery Women's Team,Silver,Team,Summer
216663,Oleksandr Oleksiyovych Serdiuk,M,26,2004,UKR,Archery Men's Team,Bronze,Team,Summer
216862,Auguste Serrurier,M,43,1900,FRA,Archery Men's Sur La Perche a La Herse,Silver,Individual,Summer
216863,Auguste Serrurier,M,43,1900,FRA,Archery Men's Sur La Perche a La Pyramide,Silver,Individual,Summer
222193,"Melanie Skillman (Soltysik-, -Hull)",F,33,1988,USA,Archery Women's Team,Bronze,Team,Summer
226374,"Galen Carter ""G. C."" Spencer",M,63,1904,USA,Archery Men's Team Round,Gold,Team,Summer
228957,Inna Yakovlevna Stepanova,F,26,2016,RUS,Archery Women's Team,Silver,Team,Summer
234597,Irena Szydowska,F,44,1972,POL,Archery Women's Individual,Silver,Individual,Summer
235924,Tan Ya-Ting,F,22,2016,TPE,Archery Women's Team,Bronze,Team,Summer
237133,"Leonora Josephine ""Leonie"" Taylor",F,27,1904,USA,Archery Women's Team Round,Gold,Team,Summer
237949,Simon Duncan Terry,M,18,1992,GBR,Archery Men's Individual,Bronze,Individual,Summer
237950,Simon Duncan Terry,M,18,1992,GBR,Archery Men's Team,Bronze,Team,Summer
238395,"Adrianus Cornelis ""Janus"" Theeuwes",M,34,1920,NED,"Archery Men's Target Archery, 28 metres, Team",Gold,Team,Summer
238657,Victor Thibault,M,33,1900,FRA,"Archery Men's Au Chapelet, 33 metres",Silver,Individual,Summer
238658,Victor Thibault,M,33,1900,FRA,"Archery Men's Au Cordon Dore, 33 metres",Silver,Individual,Summer
239318,"William Henry ""Will"" Thompson",M,56,1904,USA,Archery Men's Double American Round,Bronze,Team,Summer
239319,"William Henry ""Will"" Thompson",M,56,1904,USA,Archery Men's Double York Round,Bronze,Team,Summer
